"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","Offshoreinst North Sea","93","51","4573","9409663"
"SKANDI HUGEN","Skandi Hugen","North sea","North sea","82.2","51","4365","9625011"
"DEEP VISION","Deep Vision","Ukjent havn i ukjent land","Ukjent havn i ukjent land","85.3","51","4491","9255139"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"FRAKT VIK","Frakt Vik","Rouen","Averøy","89.95","22","2999","9356579"
"KILSTRAUM","Kilstraum","Antwerpen","Ågotnes","103.6","12","4667","9164732"
"ESVAGT STAVANGER","Esvagt Stavanger","Offshoreinst North Sea","Offshoreinst North Sea","80","51","3676","9431575"
"ECL COMMANDER","Ecl Commander","Kvinesdal","Husøy - Karmøy","100.6","22","3850","9143829"
"FEED FISKAA","Feed Fiskaa","Fiska","Moss","87.72","22","2840","9115999"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"TRANS CARRIER","Trans Carrier","Håvik","Rotterdam","144.15","34","9953","9007879"
"OCEAN MARLIN","Ocean Marlin","North sea","North sea","66.8","51","2298","9669213"
"BERGEN KREDS","Bergen Kreds","Ukjent havn i ukjent land","Ukjent havn i ukjent land","20.4","62","96","9180322"
"NORTH PURPOSE","North Purpose","North sea","Sandnes","86.8","51","3639","9439462"
"SVEAFJORD","Sveafjord","Ukjent havn i ukjent land","Ukjent havn i ukjent land","58.7","31","971","7503594"
"FAR SYMPHONY","Far Symphony","North sea","North sea","86.2","51","3743","9288253"
"NS FRAYJA","Ns Frayja","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657650"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"SVEALAND","Svealand","Ukjent norsk havn","Ukjent norsk havn","69.2","22","2413","9390276"
"EIDSVAAG SIRIUS","Eidsvaag Sirius","Verdal","Melsomvik","82.5","22","2409","9279044"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"ELEKTRON","Elektron","Bodø","Sandnes","87.4","34","3205","9386811"
"STRIL NEPTUN","Stril Neptun","Oslo","Den Helder","70.4","51","2423","9201786"
"LELIE C","Lelie C","Bremen","Kristiansund","87.99","22","2450","9166443"
"BB POWER","Bb Power","Kopervik","Kristiansand","42.5","61","1155","9694804"
"ISLAND CHALLENGER","Island Challenger","North sea","Offshoreinst North Sea","93","51","4382","9371696"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"FALKBERG","Falkberg","Dirdal","Tau","81.35","22","1850","9375446"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"STRIL ORION","Stril Orion","North sea","North sea","93.5","51","4323","9584554"
"BERGEN VIKING","Bergen Viking","Mongstad","Mongstad","95.16","11","3960","9285213"
"MEGA MAMMUT","Mega Mammut","Ukjent havn i ukjent land","Ukjent havn i ukjent land","27","61","269","9157997"
"SIMON PRINCESS","Simon Princess","Ukjent havn i ukjent land","Ukjent havn i ukjent land","42","90","490","8019394"
"SIEM SYMPHONY","Siem Symphony","Offshoreinst North Sea","North sea","89.2","51","4768","9690066"
"EIDSVAAG MARIN","Eidsvaag Marin","Flekkefjord","Bergen","58.6","31","1122","9133525"
"ROGALAND","Rogaland","Ukjent havn i ukjent land","Ukjent havn i ukjent land","57.43","49","850","5298652"
"","","","","","","",""
"RESCUE SJOMANN","Rescue Sjomann","Ukjent havn i ukjent land","Ukjent havn i ukjent land","14","0","1","0"
